0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
1033732 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 13% reduce 0%
1035737 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 17% reduce 0%
1036740 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 23% reduce 0%
1038748 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 27% reduce 0%
1039752 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 32% reduce 0%
1041759 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 36% reduce 0%
1042762 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 42% reduce 0%
1044769 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 45% reduce 0%
1045772 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 51% reduce 0%
1047780 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 0%
1048783 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 57% reduce 0%
1050792 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 0%
1051796 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 0%
1054805 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 66% reduce 0%
1057819 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 0%
1063840 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 2%
1064844 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 4%
1065846 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 72% reduce 4%
1066852 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 5%
1067855 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 6%
1068858 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 76% reduce 6%
1069861 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 6%
1070864 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 7%
1072870 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 7%
1074874 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 8%
1076879 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 9%
1078884 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 86% reduce 10%
1079886 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 88% reduce 10%
1080889 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 10%
1081892 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 13%
1082895 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 16%
1083897 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 18%
1084900 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 20%
1085902 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 28%
1086906 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 31%
1087911 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 41%
1088915 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 47%
